document_family,document_title,release,source_file,line_number,section,message_id,message_name,message_version,page,direction,source_line
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,254,1.6.37,02087,Locomotive Fault Report,3,128,locomotive_to_office,1.6.37 (02087) Locomotive Fault Report - Version 3......................................................................................................................................................... 128
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,255,1.6.38,02088,Onboard Component Configuration Report,4,130,locomotive_to_office,1.6.38 (02088) Onboard Component Configuration Report - Version 4............................................................................................................................. 130
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,256,1.6.39,02090,Control Point Request,2,131,locomotive_to_office,1.6.39 (02090) Control Point Request - Version 2.............................................................................................................................................................. 131
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,257,1.6.40,02100,Client Fileset List-,4,132,locomotive_to_office,1.6.40 (02100) Client Fileset List- Version 4...................................................................................................................................................................... 132
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,258,1.6.41,02101,File Info Request,2,134,locomotive_to_office,1.6.41 (02101) File Info Request - Version 2...................................................................................................................................................................... 134
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,259,1.6.42,02102,File Part Checksum Request,1,136,locomotive_to_office,1.6.42 (02102) File Part Checksum Request - Version 1 .................................................................................................................................................... 136
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,260,1.6.43,02103,File Data Request,1,137,locomotive_to_office,1.6.43 (02103) File Data Request - Version 1..................................................................................................................................................................... 137
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,261,1.6.44,02104,File Complete,1,138,locomotive_to_office,1.6.44 (02104) File Complete - Version 1 .......................................................................................................................................................................... 138
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,262,1.6.45,02105,File Download Failed,1,139,locomotive_to_office,1.6.45 (02105) File Download Failed - Version 1 .............................................................................................................................................................. 139
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,263,1.6.46,02120,File Info,2,140,locomotive_to_office,1.6.46 (02120) File Info - Version 2 ................................................................................................................................................................................... 140
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,264,1.6.47,02121,No File,1,141,locomotive_to_office,1.6.47 (02121) No File - Version 1 ..................................................................................................................................................................................... 141
