document_family,document_title,release,source_file,heading_line_number,section,detail_code,message_id,toc_message_name,toc_message_version,toc_page,detail_message_name,detail_message_version,direction,description,related_message_ids,functional_content_excerpt,has_functional_content,version_conflict_with_catalog,source_heading_line
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1213,1.5.18,L2I173,0541,EM Soft-Key Status,2,39,EM Soft-Key Status,2,ptc_to_energy_management,,0641,,False,False,1.5.18 L2I173 EM Soft-Key Status (0541) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1238,1.5.19,L2I343,0542,EM Control Indicator Status,3,40,EM Control Indicator Status,3,ptc_to_energy_management,,"0542,0642",,False,False,1.5.19 L2I343 EM Control Indicator Status (0542) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1268,1.5.20,L2I488,0544,ITF/BCP Overlay Status,1,41,ITF/BCP Overlay Status,1,ptc_to_energy_management,,"0544,0644",,False,False,1.5.20 L2I488 ITF/BCP Overlay Status (0544) - Version 1
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,1916,1.6.1,L2I37,02000,Verify Employee Info Request,3,74,Verify Employee Info Request,3,locomotive_to_office,Sent from the Locomotive to the Office to request verification of crew information. The Office responds with a Verify Employee Info Reponse (01000) message.,01000,"Field Size (Bytes) Type Description Railroad SCAC 4 Alphanumeric Railroad SCAC of the railroad that is to verify the employee information, left justified space filled ICD Version Length 1 Numeric Length of the ICD Version name (1 - 20) ICD Version Variable Printable ASCII Office-Locomotive Segment ICD Version Reason for Sending 1 Enumeration 0 - Not used 1 - Initialization request 2 - Departure test request Employee Identifier Length 1 Numeric String length of the Employee Identifier up to 8 characters Employee Identifier Variable Alphanumeric Employee identifier Encrypted Employee PIN 16 Numeric Employee PIN (Encrypted) See section 1.3.4 for details",True,False,1.6.1 L2I37 (02000) Verify Employee Info Request - Version 3
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,1942,1.6.2,L2I38,02001,Request Train ID List,1,75,Request Train ID List,1,locomotive_to_office,Sent from the Locomotive to the Office to obtain a list of train symbols to which the Locomotive is assigned. The Office responds with a Train ID List (01001) message.,01001,"Field Size (Bytes) Type Description Railroad SCAC 4 Alphanumeric Railroad SCAC of the railroad issuing the train ID, left justified space filled Clearance Number Length 1 Numeric String length of clearance number up to 8 characters Clearance Number Variable Alphanumeric Clearance number",True,False,1.6.2 L2I38 (02001) Request Train ID List - Version 1
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,1959,1.6.3,L2I39,02003,Selected Train ID,3,76,Selected Train ID,3,locomotive_to_office,Sent from the Locomotive to the Office to provide the crew-selected train ID. The Office confirms receipt of the message with the Confirmation of Selected Train ID (01004) message.,"01000,01004","Field Size (Bytes) Type Description Railroad SCAC 4 Alphanumeric Railroad SCAC of the railroad from which the train ID ws sent, left justified space filled Reason for Sending 1 Enumeration 0 - Not Used 1 - Initialization 2 - Response to a request from the office Clearance Number Length 1 Numeric String length of clearance number up to 8 characters Clearance Number Variable Alphanumeric Clearance number Train ID Length 1 Numeric Train ID length up to 30 characters Train ID Variable Alphanumeric Train ID Employee Identifier Length 1 Numeric String length of the Employee Identifier up to 8 characters Employee Identifier Variable Alphanumeric Employee identifier Employee First Name Size 1 Numeric Size of employee first name up to 20 characters Employee First Name Variable Alphabetic Employee first name Employee Middle Initial Size 1 Numeric Size of employee middle initial up to 1 character Employee Middle Initial Variable Alphabetic Employee middle initial Employee Last Name Size 1 Numeric Size of employee last name up to 32 characters Employee Last Name Variable Alphabetic Employee last name Onboard Software Version Length 1 Numeric String length of the Onboard Software Version up to 20 characters Onboard Software Version Variable Printable ASCII Onboard software version currently installed Common Configuration Fileset Version Length 1 Numeric String length of the Common Configuration Fileset Version up to 20 characters Common Configuration Fileset Version Variable Printable ASCII Common configuration fileset version currently installed Railroad Specific Configuration Fileset Version Length 1 Numeric String length of the Railroad Specific Configuration Fileset Version up to 20 characters Railroad Specific Configuration Fileset Version Variable Printable ASCII Railroad specific configuration fileset version currently installed",True,False,1.6.3 L2I39 (02003) Selected Train ID - Version 3
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,2012,1.6.4,L2I40,02005,Configuration Version List Request,3,78,Configuration Version List Request,3,locomotive_to_office,Sent from the Locomotive to the Office to request information in order to validate its configuration. The Office responds with the Configuration Version List (01005) message.,01005,"Field Size (Bytes) Type Description Railroad SCAC 4 Alphanumeric Railroad SCAC of the railroad with which the locomotive configuration is to be validated , left justified space filled ICD Version Length 1 Numeric Length of the ICD Version name (1 - 20) ICD Version Variable Printable ASCII Office-Locomotive Segment ICD Version Number of Repositories 1 Numeric Number of repositories that need to be validated For each Repository Repeated as per ‘Number of Repositories’ Repository Name Length 1 Numeric String length of the repository up to 50 characters Repository Name Variable Printable ASCII Repository name",True,False,1.6.4 L2I40 (02005) Configuration Version List Request - Version 3
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,2039,1.6.5,L2I42,02007,Request Train Subdivision/District List,1,79,Request Train Subdivision/District List,1,locomotive_to_office,Sent from the Locomotive to the Office to obtain the list of subdivisions / districts for which the Locomotive needs mandatory directives. The Office responds with a Train Subdivision/District List (01007) message.,"01007,01021","Field Size (Bytes) Type Description Railroad SCAC 4 Alphanumeric Railroad SCAC of the railroad issuing the train subdivision / district list, left justified space filled Reason for Sending 1 Enumeration 0 - Not used 1 - Initialization request 2 - Request for updated list Clearance Number Length 1 Numeric String length of clearance number up to 8 characters Clearance Number Variable Alphanumeric Clearance number Train ID Length 1 Numeric Train ID length up to 30 characters Train ID Variable Alphanumeric Train ID",True,False,1.6.5 L2I42 (02007) Request Train Subdivision/District List - Version 1
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,2066,1.6.6,L2I43,02008,Confirmation of Train Subdivision/District List,2,80,Confirmation of Train Subdivision/District List,2,locomotive_to_office,Sent from the Locomotive to the Office to confirm receipt of an unsolicited Train Subdivision/District List ( 01007) message.,01007,"Field Size (Bytes) Type Description Railroad SCAC 4 Alphanumeric Railroad SCAC of the railroad from which the train subdivision / district list was sent, left justified space filled Subdivision / District List (01007) message (0 -> 65535) Acknowledgement Indication 1 Enumeration 0 - Not used 1 - Acknowledged 2 - Reserved 3 -Reserved 4 - NAK - Other reasons 5 -Reserved",True,False,1.6.6 L2I43 (02008) Confirmation of Train Subdivision/District List - Version 2
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,2088,1.6.7,L2I44,02010,Locomotive System State,2,81,Locomotive System State,2,locomotive_to_office,Sent from the Locomotive to the Office to report the system state of the onboard system. This message may be sent unsolicited or in response to the Command/Confirm Locomotive System State (01010) message. The message may also be sent in response to the Request Selected Train ID (01003) message if the Locomotive is in a non-controlling state.,"01003,01010","Field Size (Bytes) Type Description Railroad SCAC 4 Alphanumeric Railroad SCAC of the railroad to which the system state is being reported, left justified space filled Reason for Sending 1 Enumeration 0 - Not used 1 - Crew initiated change - cut out 2 - Crew initiated change - logoff 3 - Locomotive initiated change 4 - Office commanded change 5 - Sent in response to the 01003 message 6 - Periodic report Locomotive State Summary 1 Enumeration 0 - Not used 1 - Controlling 2 - Non-controlling Locomotive State 1 Enumeration 0 - Not used 1 - Self Test 2 - Initializing 3 - Disengaged 4 - Cut Out 5 - Active 6 - Switching 7 - Failed Clearance Number Length 1 Numeric String length of clearance number up to 8 characters Clearance Number Variable Alphanumeric Clearance number",True,False,1.6.7 L2I44 (02010) Locomotive System State - Version 2
