"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME"
"dbo","tblPlanningTrackReservationsInActive","MessageData"
"dbo","tblSMCPendingRequests","Message"
"dbo","tblSMCPendingRequestsHistory","Message"
"dbo","tblStoreRoutes","ControlPoint"
"dbo","tblStoreRoutes","EntrySignal"
"dbo","tblStoreRoutes","ExitSignal"
"dbo","tblStoreRoutes","RouteGUID"
"dbo","tblStoreRoutes","AutoRoute"
"dbo","tblStoreRoutes","RouteDependencies"
"dbo","tblStoreRoutes","SignalRouteGUID"
"dbo","tblStoreRoutes","TrainSymbol"
"dbo","tblStoreRoutes","TrainGUID"
"dbo","tblStoreRoutes","DisplayRoute"
"dbo","tblStoreRoutes","GroupedRoute"
"dbo","tblStoreRoutes","GroupedRouteParentGUID"
"dbo","tblStoreRoutes","GroupedRouteDetails"
"dbo","tblSubdivisionEvents","EventMessage"
"dbo","tblSystemBOSTasks","TrainSymbol"
"dbo","tblSystemBulletinExceptions","TrnShtRoute"
"dbo","tblSystemBulletinExceptions","DispatcherName"
"dbo","tblSystemBulletinExceptionsInActive","TrnShtRoute"
"dbo","tblSystemBulletinExceptionsInActive","DispatcherName"
"dbo","tblSystemBulletins","TrackType"
"dbo","tblSystemBulletins","TrackName"
"dbo","tblSystemBulletins","TrainMessageFreight"
"dbo","tblSystemBulletins","TrainSpeedFreight"
"dbo","tblSystemBulletins","TrainMessagePassengar"
"dbo","tblSystemBulletins","TrainSpeedPassengar"
"dbo","tblSystemBulletins","TrackNameList"
"dbo","tblSystemBulletins","TrainMessageExpedite"
"dbo","tblSystemBulletins","TrainSpeedExpedite"
"dbo","tblSystemBulletins","TrainSpecific"
"dbo","tblSystemBulletins","TrainSymbol"
"dbo","tblSystemBulletins","TrackBlocked"
"dbo","tblSystemBulletins","TrackOutOfService"
"dbo","tblSystemBulletins","PTCTrackSegments"
"dbo","tblSystemBulletins","IsNonControlledTrack"
"dbo","tblSystemBulletins","OnTrain"
"dbo","tblSystemBulletins","Version"
"dbo","tblSystemBulletinsBOSStatus","TrainSymbol"
"dbo","tblSystemBulletinsGeneral","TrainDescription"
"dbo","tblSystemBulletinsGeneral","TrnShtRoute"
"dbo","tblSystemBulletinsGeneralInActive","TrainDescription"
"dbo","tblSystemBulletinsGeneralInActive","TrnShtRoute"
"dbo","tblSystemBulletinsInActive","TrackType"
"dbo","tblSystemBulletinsInActive","TrackName"
"dbo","tblSystemBulletinsInActive","TrainMessageFreight"
"dbo","tblSystemBulletinsInActive","TrainSpeedFreight"
"dbo","tblSystemBulletinsInActive","TrainMessagePassengar"
"dbo","tblSystemBulletinsInActive","TrainSpeedPassengar"
"dbo","tblSystemBulletinsInActive","TrackNameList"
"dbo","tblSystemBulletinsInActive","TrainMessageExpedite"
"dbo","tblSystemBulletinsInActive","TrainSpeedExpedite"
"dbo","tblSystemBulletinsInActive","TrainSpecific"
"dbo","tblSystemBulletinsInActive","TrainSymbol"
"dbo","tblSystemBulletinsInActive","TrackBlocked"
"dbo","tblSystemBulletinsInActive","TrackOutOfService"
"dbo","tblSystemBulletinsInActive","PTCTrackSegments"
"dbo","tblSystemBulletinsInActive","IsNonControlledTrack"
"dbo","tblSystemBulletinsInActive","OnTrain"
"dbo","tblSystemBulletinsInActive","Version"
"dbo","tblSystemEmployeePCE","TrainSymbol"
"dbo","tblSystemEmployeePCE","TrainGUID"
"dbo","tblSystemEmployeePCE","TrainStatus"
"dbo","tblSystemEmployeePCEInActive","TrainSymbol"
"dbo","tblSystemEmployeePCEInActive","TrainGUID"
"dbo","tblSystemEmployeePCEInActive","TrainStatus"
