"UID","ControlPoint","ControlPointName","Name","Type","TypeOfDevice","DeviceCategory","SecondaryText","DeviceControl","ControlOnly","IndicateOnly","FlashControl","FlashIndicate","ScadaMode","TrackInterlockMode","Codeline","CPCTL1","CPCTL2","CPCTL3","CPIND1","CPIND2","CPIND3","TerritoryAssignment","Subdivision","SubdivisionName","TrackGUID","TrackComponentName","TrackName","TrackAlias","Notes"
"200762","200010","ANGEL","1088DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","15","0;1;200010;","0;1;200010;","0;1;200010;","30;1;200010;15","0;1;200010;0001","0;1;200010;0001","200","1","ESCONDIDO","",,,,"NONE"
"200763","200011","VISTA","1092MOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","16","0;1;200011;","0;1;200011;","0;1;200011;","22;1;200011;16","0;1;200011;0001","0;1;200011;0001","200","1","ESCONDIDO","",,,,"NONE"
"200764","200011","VISTA","1092DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","16","0;1;200011;","0;1;200011;","0;1;200011;","21;1;200011;16","0;1;200011;0001","0;1;200011;0001","200","1","ESCONDIDO","",,,,"NONE"
"200765","200011","VISTA","1092POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","16","0;1;200011;","0;1;200011;","0;1;200011;","20;1;200011;16","0;1;200011;0001","0;1;200011;0001","200","1","ESCONDIDO","",,,,"NONE"
"200766","200011","VISTA","1092LOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","16","0;1;200011;","0;1;200011;","0;1;200011;","23;1;200011;16","0;1;200011;0001","0;1;200011;0001","200","1","ESCONDIDO","",,,,"NONE"
"200767","200011","VISTA","1093POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","16","0;1;200011;","0;1;200011;","0;1;200011;","26;1;200011;16","0;1;200011;0001","0;1;200011;0001","200","1","ESCONDIDO","",,,,"NONE"
"200768","200011","VISTA","1093DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","16","0;1;200011;","0;1;200011;","0;1;200011;","27;1;200011;16","0;1;200011;0001","0;1;200011;0001","200","1","ESCONDIDO","",,,,"NONE"
"200770","200012","CIVIC CTR VISTA","1096DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","17","0;1;200012;","0;1;200012;","0;1;200012;","14;1;200012;17","0;1;200012;0001","0;1;200012;0001","200","1","ESCONDIDO","",,,,"NONE"
"200771","200012","CIVIC CTR VISTA","1096POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","17","0;1;200012;","0;1;200012;","0;1;200012;","13;1;200012;17","0;1;200012;0001","0;1;200012;0001","200","1","ESCONDIDO","",,,,"NONE"
"200772","200012","CIVIC CTR VISTA","1102POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","17","0;1;200012;","0;1;200012;","0;1;200012;","21;1;200012;17","0;1;200012;0001","0;1;200012;0001","200","1","ESCONDIDO","",,,,"NONE"
"200773","200012","CIVIC CTR VISTA","1102DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","17","0;1;200012;","0;1;200012;","0;1;200012;","22;1;200012;17","0;1;200012;0001","0;1;200012;0001","200","1","ESCONDIDO","",,,,"NONE"
"200775","200013","AVENUE","1108DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","18","0;1;200013;","0;1;200013;","0;1;200013;","18;1;200013;18","0;1;200013;0001","0;1;200013;0001","200","1","ESCONDIDO","",,,,"NONE"
