"UID","ControlPoint","ControlPointName","Name","Type","TypeOfDevice","DeviceCategory","SecondaryText","DeviceControl","ControlOnly","IndicateOnly","FlashControl","FlashIndicate","ScadaMode","TrackInterlockMode","Codeline","CPCTL1","CPCTL2","CPCTL3","CPIND1","CPIND2","CPIND3","TerritoryAssignment","Subdivision","SubdivisionName","TrackGUID","TrackComponentName","TrackName","TrackAlias","Notes"
"200795","200017","LOOP WEST","1166POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","22","0;1;200017;","0;1;200017;","0;1;200017;","29;1;200017;22","0;1;200017;22","0;1;200017;22","200","1","ESCONDIDO","",,,,"NONE"
"200796","200017","LOOP WEST","1164DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","22","0;1;200017;","0;1;200017;","0;1;200017;","28;1;200017;22","0;1;200017;22","0;1;200017;22","200","1","ESCONDIDO","",,,,"NONE"
"200797","200017","LOOP WEST","1164POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","22","0;1;200017;","0;1;200017;","0;1;200017;","27;1;200017;22","0;1;200017;22","0;1;200017;22","200","1","ESCONDIDO","",,,,"NONE"
"200798","200017","LOOP WEST","1161DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","22","0;1;200017;","0;1;200017;","0;1;200017;","36;1;200017;22","0;1;200017;22","0;1;200017;22","200","1","ESCONDIDO","",,,,"NONE"
"200799","200017","LOOP WEST","B1167POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","22","0;1;200017;","0;1;200017;","0;1;200017;","31;1;200017;22","0;1;200017;22","0;1;200017;22","200","1","ESCONDIDO","",,,,"NONE"
"200800","200017","LOOP WEST","B1167DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","22","0;1;200017;","0;1;200017;","0;1;200017;","32;1;200017;22","0;1;200017;22","0;1;200017;22","200","1","ESCONDIDO","",,,,"NONE"
"200801","200017","LOOP WEST","B1174POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","22","0;1;200017;","0;1;200017;","0;1;200017;","33;1;200017;22","0;1;200017;22","0;1;200017;22","200","1","ESCONDIDO","",,,,"NONE"
"200802","200017","LOOP WEST","B1174DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","22","0;1;200017;","0;1;200017;","0;1;200017;","34;1;200017;22","0;1;200017;22","0;1;200017;22","200","1","ESCONDIDO","",,,,"NONE"
"200803","200017","LOOP WEST","1161POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","22","0;1;200017;","0;1;200017;","0;1;200017;","35;1;200017;22","0;1;200017;22","0;1;200017;22","200","1","ESCONDIDO","",,,,"NONE"
"200804","200020","SHELLY","1173DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","23","0;1;200020;","0;1;200020;","0;1;200020;","18;1;200020;23","0;1;200020;23","0;1;200020;23","200","1","ESCONDIDO","",,,,"NONE"
