"Id","LocomotiveId","Last2100","IcdInterfaceVersion"
"29355","BNSF  7209","2026-03-24 오전 8:53:40","ICD_4_0"
"26715","BNSF  8200","2026-03-24 오전 8:53:37","BOS_ICD_3_0"
"25365","BNSF  7883","2026-03-24 오전 8:53:33","BOS_ICD_3_0"
"29089","BNSF  5463","2026-03-24 오전 8:53:24","BOS_ICD_3_0"
"10192","SCAX   917","2026-03-24 오전 8:53:19","BOS_ICD_3_0"
"29136","BNSF  4209","2026-03-24 오전 8:53:17","ICD_4_0"
"23339","BNSF  7295","2026-03-24 오전 8:53:12","BOS_ICD_3_0"
"28850","BNSF  7128","2026-03-24 오전 8:53:12","ICD_4_0"
"22839","BNSF  8413","2026-03-24 오전 8:53:04","BOS_ICD_3_0"
"28277","BNSF   297","2026-03-24 오전 8:53:04","BOS_ICD_3_0"
"29517","BNSF  5112","2026-03-24 오전 8:52:58","BOS_ICD_3_0"
"29213","BNSF  5023","2026-03-24 오전 8:52:56","ICD_4_0"
"23899","BNSF  4433","2026-03-24 오전 8:52:44","BOS_ICD_3_0"
"28096","BNSF  8328","2026-03-24 오전 8:52:38","BOS_ICD_3_0"
"21906","BNSF  6240","2026-03-24 오전 8:52:35","BOS_ICD_3_0"
"29584","BNSF  4770","2026-03-24 오전 8:52:22","BOS_ICD_3_0"
"23994","BNSF  7266","2026-03-24 오전 8:52:07","BOS_ICD_3_0"
"16307","BNSF  5384","2026-03-24 오전 8:52:03","ICD_4_0"
"27975","BNSF  5272","2026-03-24 오전 8:51:52","ICD_4_0"
"20161","BNSF  7956","2026-03-24 오전 8:51:48","ICD_4_0"
"25681","BNSF  4039","2026-03-24 오전 8:51:38","BOS_ICD_3_0"
"25764","BNSF  5990","2026-03-24 오전 8:51:37","ICD_4_0"
"21411","BNSF   155","2026-03-24 오전 8:51:37","BOS_ICD_3_0"
"27332","BNSF  6092","2026-03-24 오전 8:51:31","BOS_ICD_3_0"
"25573","BNSF  3824","2026-03-24 오전 8:51:19","ICD_4_0"
"13829","BNSF  8332","2026-03-24 오전 8:51:13","BOS_ICD_3_0"
"21000","BNSF  8042","2026-03-24 오전 8:51:08","ICD_4_0"
"26754","BNSF   503","2026-03-24 오전 8:51:03","BOS_ICD_3_0"
"23645","BNSF  2268","2026-03-24 오전 8:50:51","BOS_ICD_3_0"
"25517","BNSF  6115","2026-03-24 오전 8:50:46","BOS_ICD_3_0"
"25994","BNSF  6338","2026-03-24 오전 8:50:39","ICD_4_0"
"23943","BNSF  7445","2026-03-24 오전 8:50:35","BOS_ICD_3_0"
"24476","BNSF   500","2026-03-24 오전 8:50:30","BOS_ICD_3_0"
"27823","BNSF  8099","2026-03-24 오전 8:50:30","ICD_4_0"
"27213","BNSF  8776","2026-03-24 오전 8:50:29","BOS_ICD_3_0"
"29476","BNSF  5136","2026-03-24 오전 8:50:26","ICD_4_0"
"24665","BNSF  6722","2026-03-24 오전 8:50:23","BOS_ICD_3_0"
"24051","BNSF  8247","2026-03-24 오전 8:50:17","BOS_ICD_3_0"
"23467","BNSF  6970","2026-03-24 오전 8:50:14","ICD_4_0"
"27068","BNSF  1469","2026-03-24 오전 8:50:12","BOS_ICD_3_0"
"25285","BNSF  6220","2026-03-24 오전 8:50:09","ICD_4_0"
"21445","BNSF  6591","2026-03-24 오전 8:49:52","ICD_4_0"
"24780","BNSF   134","2026-03-24 오전 8:49:36","BOS_ICD_3_0"
"28604","BNSF  5058","2026-03-24 오전 8:49:31","BOS_ICD_3_0"
"25299","BNSF  7700","2026-03-24 오전 8:49:25","ICD_4_0"
"26918","BNSF  6177","2026-03-24 오전 8:49:19","BOS_ICD_3_0"
"28315","BNSF  4440","2026-03-24 오전 8:49:16","ICD_4_0"
"25494","BNSF  3795","2026-03-24 오전 8:49:14","BOS_ICD_3_0"
"29529","BNSF   147","2026-03-24 오전 8:49:00","BOS_ICD_3_0"
"14597","AMTK   140","2026-03-24 오전 8:48:50","BOS_ICD_3_0"
"22002","AMTK    59","2026-03-24 오전 8:48:46","BOS_ICD_3_0"
"30112","BNSF  5220","2026-03-24 오전 8:48:46","ICD_4_0"
"18866","BNSF  5187","2026-03-24 오전 8:48:41","BOS_ICD_3_0"
"23199","BNSF  8271","2026-03-24 오전 8:48:09","BOS_ICD_3_0"
"25809","BNSF  6054","2026-03-24 오전 8:48:04","BOS_ICD_3_0"
"29645","BNSF  6142","2026-03-24 오전 8:48:02","BOS_ICD_3_0"
"26220","BNSF  7771","2026-03-24 오전 8:47:38","ICD_4_0"
"21361","BNSF  7046","2026-03-24 오전 8:47:35","BOS_ICD_3_0"
"29310","BNSF  8088","2026-03-24 오전 8:47:19","BOS_ICD_3_0"
"15104","RNCX  1810","2026-03-24 오전 8:46:57","BOS_ICD_3_0"
"24057","BNSF  5939","2026-03-24 오전 8:46:53","ICD_4_0"
"24485","BNSF  4428","2026-03-24 오전 8:46:48","ICD_4_0"
"8696","SCAX   641","2026-03-24 오전 8:46:12","BOS_ICD_3_0"
"24396","BNSF  9058","2026-03-24 오전 8:46:11","ICD_4_0"
"24107","BNSF  7922","2026-03-24 오전 8:46:08","BOS_ICD_3_0"
"15602","AMTK    11","2026-03-24 오전 8:45:51","BOS_ICD_3_0"
"28172","AMTK   109","2026-03-24 오전 8:45:35","BOS_ICD_3_0"
"23428","BNSF  7388","2026-03-24 오전 8:45:03","ICD_4_0"
"12446","CDTX  2003","2026-03-24 오전 8:44:42","BOS_ICD_3_0"
"28081","BNSF   131","2026-03-24 오전 8:44:41","BOS_ICD_3_0"
