"TrainSheetGUID","OsPoint","OsTime","TrackGUID","SubName","ReportData","RecordGUID","Direction","EventCreator"
"48A78D62-D53A-490E-A8F5-E00230A4255C","PONTO","2025-06-03 오전 1:54:33","100330","SAN DIEGO","VSDGBAR1 02|6/3/2025 01:54:33|65|1|4303|6068||BNSF  7402;BNSF  6704;|PONTO|100018||NONE|0|BNSF  7910|NONE|","C2734BA1-868B-49F6-A791-39D9AEFF3347",,"CANADA, GLORIA {GC}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","SWAMI","2025-06-03 오전 1:49:05","100346","SAN DIEGO","VSDGBAR1 02|6/3/2025 01:49:05|65|1|4303|6068||BNSF  7402;BNSF  6704;|SWAMI|100019||NONE|0|BNSF  7910|NONE|","1C42323D-F46D-4264-85D7-89195A1068AC",,"CANADA, GLORIA {GC}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","CARDIFF","2025-06-03 오전 1:45:46","100866","SAN DIEGO","VSDGBAR1 02|6/3/2025 01:45:46|65|1|4303|6068||BNSF  7402;BNSF  6704;|CARDIFF|100020||NONE|0|BNSF  7910|NONE|","D5D302CC-2CB6-4463-A84F-3BB2D5AC8302",,"CANADA, GLORIA {GC}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","VALLEY","2025-06-02 오후 10:08:07","100382","SAN DIEGO","VSDGBAR1 02|6/2/2025 22:08:07|65|1|4303|6068||BNSF  7402;BNSF  6704;|VALLEY|100022||NONE|0|BNSF  7910|NONE|","2ADAA492-5479-40C8-8F5F-7F1FFF8FE7E0",,"CANADA, GLORIA {GC}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","CROSBY","2025-06-02 오후 10:06:11","100390","SAN DIEGO","VSDGBAR1 02|6/2/2025 22:06:11|65|1|4303|6068||BNSF  7402;BNSF  6704;|CROSBY|100023||NONE|0|BNSF  7910|NONE|","AE167826-6A3E-4B8E-B0FA-F267F280705A",,"CANADA, GLORIA {GC}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","DEL MAR","2025-06-02 오후 10:05:23","100404","SAN DIEGO","VSDGBAR1 02|6/2/2025 22:05:23|65|1|4303|6068||BNSF  7402;BNSF  6704;|DEL MAR|100024||NONE|0|BNSF  7910|NONE|","409D82EC-B273-4C74-9773-F159C11A9C16",,"CANADA, GLORIA {GC}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","TORREY","2025-06-02 오후 9:59:40","100180","SAN DIEGO","VSDGBAR1 02|6/2/2025 21:59:40|65|1|4303|6068||BNSF  7402;BNSF  6704;|TORREY|100025||NONE|0|BNSF  7910|NONE|","7AF941D9-3940-47E4-8F1D-ABDE4CEEDE73",,"CANADA, GLORIA {GC}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","SORRENTO","2025-06-02 오후 9:55:19","100640","SAN DIEGO","VSDGBAR1 02|6/2/2025 21:55:19|65|1|4303|6068||BNSF  7402;BNSF  6704;|SORRENTO|100010||NONE|0|BNSF  7910|NONE|","2C51ED3E-8EFB-429A-9B0D-B9622595F41B",,"CANADA, GLORIA {GC}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","SCRIPPS","2025-06-02 오후 9:50:16","100821","SAN DIEGO","VSDGBAR1 02|6/2/2025 21:50:16|65|1|4303|6068||BNSF  7402;BNSF  6704;|SCRIPPS|100015||NONE|0|BNSF  7910|NONE|","F73DBE17-0280-4A90-BA3B-E8EB56C2A26A",,"CANADA, GLORIA {GC}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","MIRAMAR","2025-06-02 오후 9:14:27","100436","SAN DIEGO","VSDGBAR1 02|6/2/2025 21:14:27|65|1|4303|6068||BNSF  7402;BNSF  6704;|MIRAMAR|100027||NONE|0|BNSF  7910|NONE|","4A90CAA4-4FA1-489F-A1D2-60DB0BA3C498",,"CANADA, GLORIA {GC}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","ROSE","2025-06-02 오후 9:08:33","100320","SAN DIEGO","VSDGBAR1 02|6/2/2025 21:08:33|65|1|4303|6068||BNSF  7402;BNSF  6704;|ROSE|100007||NONE|0|BNSF  7910|NONE|","3764BB0D-D9F4-415C-AB26-92533B77795A",,"CANADA, GLORIA {GC}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","CUDAHY","2025-06-02 오후 8:56:16","100298","SAN DIEGO","VSDGBAR1 02|6/2/2025 20:56:16|65|1|4303|6068||BNSF  7402;BNSF  6704;|CUDAHY|100004||NONE|0|BNSF  7910|NONE|","FA3928D8-67A8-4864-A47A-F970F335DA69",,"GEDDES, DEBBIE {DJG}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","CONVAIR","2025-06-02 오후 8:01:17","100617","SAN DIEGO","VSDGBAR1 02|6/2/2025 20:01:17|65|1|4303|6068||BNSF  7402;BNSF  6704;|CONVAIR|100035||NONE|0|BNSF  7910|NONE|","4BC9FEA4-DB63-4229-AD0D-D7C0D57D833E",,"GEDDES, DEBBIE {DJG}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","ASH","2025-06-02 오후 7:51:26","100523","SAN DIEGO","VSDGBAR1 02|6/2/2025 19:51:26|65|1|4303|6068||BNSF  7402;BNSF  6704;|ASH|100033||NONE|0|BNSF  7910|NONE|","304336D6-3513-4573-895B-A0464807A665",,"GEDDES, DEBBIE {DJG}"
"48A78D62-D53A-490E-A8F5-E00230A4255C","BROADWAY","2025-06-02 오후 7:49:12","100482","SAN DIEGO","VSDGBAR1 02|6/2/2025 19:49:12|65|1|4303|6068||BNSF  7402;BNSF  6704;|BROADWAY|100008||NONE|0|BNSF  7910|NONE|","FA61647D-75C9-41C7-8719-9737F79D73BE",,"GEDDES, DEBBIE {DJG}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","BROADWAY","2025-03-11 오전 2:10:42","100482","SAN DIEGO","VSBDSDG4 10|3/11/2025 02:10:42|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|BROADWAY|100008||NONE|0|BNSF  3706|NONE|","44D6A1AD-5C76-41D2-A832-FBBDEFE9CF73",,"CANADA, GLORIA {GC}"
