"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","Codeline","CPIND1","CPIND2","CPIND3","CPCTL1","CPCTL2","CPCTL3","TerritoryAssignment","MatchMode","IndicateOnly","ControlOnly","FlashIndicate","FlashControl","Color","TypeOfDevice","Subdivision","GraphicGroup","ScreenRegion","TrackGUID","FontString","SecondaryText","DeviceControl","ControlStatus","Notes","AlarmOnIndication","AlarmNotification","SlotControlOnIndication","InvertIndication","ManualOperateMode","AllowSnowMelterTimer","SnowMelterTime","ScadaMode","TrackInterlockMode","DisableSlotting","RRUniqueIdentifierName","ScadaSuppressTime","DeviceCategory"
"200716","200008","1032DOK","D","1255","45","1280","65","0","0","0","0","0","0","11","26;1;200008;11","0;1;200008;0001","0;1;200008;0001","0;1;200008;","0;1;200008;","0;1;200008;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","1","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200717","200008","1037DOK","D","1390","70","1370","85","0","0","0","0","0","0","11","28;1;200008;11","0;1;200008;11","0;1;200008;11","0;1;200008;","0;1;200008;","0;1;200008;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","2","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200718","200008","1037POK","D","1390","45","1360","65","0","0","0","0","0","0","11","27;1;200008;11","0;1;200008;0001","0;1;200008;0001","0;1;200008;","0;1;200008;","0;1;200008;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","1","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200738","200007","1051POK","D","1635","90","1660","35","0","0","0","0","0","0","13","17;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","2","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200739","200007","1051DOK","D","1635","110","1660","50","0","0","0","0","0","0","13","18;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","3","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200740","200007","1054POK","D","1685","25","1655","70","0","0","0","0","0","0","13","19;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","1","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200741","200007","1054DOK","D","1685","45","1655","85","0","0","0","0","0","0","13","20;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","1","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200742","200007","1055POK","D","1635","50","1655","100","0","0","0","0","0","0","13","21;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","1","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200743","200007","1055DOK","D","1635","70","1655","120","0","0","0","0","0","0","13","22;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","2","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200744","200007","1056POK","D","1740","25","1805","40","0","0","0","0","0","0","13","23;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","1","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200745","200007","1056DOK","D","1740","45","1810","50","0","0","0","0","0","0","13","24;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","1","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200746","200007","1064POK","D","1790","55","1815","70","0","0","0","0","0","0","13","25;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","2","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200747","200007","1064DOK","D","1790","75","1815","90","0","0","0","0","0","0","13","26;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","2","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200748","200007","1069POK","D","1790","95","1815","105","0","0","0","0","0","0","13","27;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","2","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200749","200007","1069DOK","D","1790","115","1815","125","0","0","0","0","0","0","13","28;1;200007;13","0;1;200007;0001","0;1;200007;0001","0;1;200007;","0;1;200007;","0;1;200007;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","3","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200753","200009","1072POK","D","30","360","70","375","0","0","0","0","0","0","14","18;1;200009;14","0;1;200009;0001","0;1;200009;0001","0;1;200009;","0;1;200009;","0;1;200009;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200754","200009","1072DOK","D","160","355","180","375","0","0","0","0","0","0","14","19;1;200009;14","0;1;200009;0001","0;1;200009;0001","0;1;200009;","0;1;200009;","0;1;200009;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200757","200010","1082POK","D","220","365","255","410","0","0","0","0","0","0","15","25;1;200010;15","0;1;200010;0001","0;1;200010;0001","0;1;200010;","0;1;200010;","0;1;200010;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
