"WordType","CDLNNumber","CPNumber","CSNumber","BPAssignment","Mnemonic","LongName","BitType","UID"
"I","5","100003","1","7","WGK","WESTBOUND SIGNAL INDICATION","None","63753980-51FD-40DA-97C1-6D8BF0A6FDCA"
"C","5","100003","1","8","BLANK","BLANK CONTROL","NONE","02611670-4426-4862-A989-91E2F10544A5"
"I","5","100003","1","8","POK","POWER OFF INDICATION","None","3E137E87-40D2-4A26-B79F-665B559FF8A9"
"C","5","100003","1","9","BLANK","BLANK CONTROL","None","2272E8DE-1DEF-443B-8B21-C8E23B67C8F5"
"I","5","100003","1","9","LCK","LOCAL CONTROL INDICAITON","None","B953CDD6-66FA-4B9C-8DC8-FB3196788D29"
"C","5","100003","1","10","BLANK","BLANK CONTROL","None","E12902D6-4230-4F10-86D1-6BABBFC93729"
"I","5","100003","1","10","TEK","IN-TIME INDICAITON","None","E847CA4C-C157-4E57-919C-CED227C7B4F1"
"C","5","100003","1","11","BLANK","BLANK CONTROL","NONE","AA62AD43-0DDD-4585-B142-6D74F8C8DCE7"
"I","5","100003","1","11","DOK","DOOR OPEN INDICATION","NONE","708F86DE-A0BD-4A21-9F51-CF7300DD9688"
"C","5","100003","1","12","BLANK","BLANK CONTROL","None","18ED964D-0FFC-40AF-B225-646AA7FC419A"
"I","5","100003","1","12","BLANK","BLANK INDICATION","NONE","7C144C9D-4392-4C81-9E65-2CC045167D09"
"C","5","100003","1","13","BLANK","BLANK CONTROL","None","C8A2E521-EA18-4DCD-8893-F677A1A2CEB3"
"I","5","100003","1","13","LOK","LIGHT OUT INDICATION","NONE","B5F695C1-F6C0-45E6-960D-45BA950823AD"
"C","5","100003","1","14","BLANK","BLANK CONTROL","None","4DF1498E-A53E-4EDE-862B-3D5C6BA287C8"
"I","5","100003","1","14","WBAK","WBAK","NONE","E35F219F-2C53-4878-9C79-D957826FF62F"
"C","5","100003","1","15","BLANK","BLANK CONTROL","NONE","CAFBAA63-AF60-45CC-A86C-5D5327145761"
"I","5","100003","1","15","BLANK","BLANK INDICATION","NONE","009A9189-0F9F-4590-BA9B-4D0DA9639A59"
"C","5","100003","1","16","BLANK","BLANK CONTROL","NONE","D7957E33-8B73-4C26-AAEB-FAAE89A5B1F8"
"I","5","100003","1","16","BLANK","BLANK INDICATION","NONE","24039ACC-74C4-4690-8E11-68DD401985C5"
"C","5","100004","1","1","1NWS","1 NORMAL SWITCH CONTROL","None","24CECBD6-ACE4-427C-9D63-86F12A900E1E"
"I","5","100004","1","1","1NWK","1 NORMAL SWITCH INDICATION","None","0CE12C35-DCD8-4341-AC29-292282C4DB6B"
"C","5","100004","1","2","1RWS","1 REVERSE SWITCH CONTROL","None","CA8E67D3-4393-4B32-A46E-3BD5B30CB24B"
"I","5","100004","1","2","1RWK","1 REVERSE SWITCH INDICATION","None","89AFCD0B-8766-424B-877B-A1448C2174B2"
"C","5","100004","1","3","3NWS","3 NORMAL SWITCH CONTROL","None","2CD4E359-BCE9-4C26-9630-DEEF5163B4D3"
"I","5","100004","1","3","3NWK","3 NORMAL SWITCH INDICATION","None","E70DFBA2-8039-4EF5-92BA-FF743C3DDD59"
"C","5","100004","1","4","3RWS","3 REVERSE SWITCH CONTROL","None","2039743F-8FB8-42DF-8F8F-5D45624BCFDD"
"I","5","100004","1","4","3RWK","3 REVERSE SWITCH INDICATION","None","F79D4286-B8D7-4AD0-8755-DF73D29DDB68"
"C","5","100004","1","5","2EGHS","2 EASTBOUND SIGNAL CONTROL","None","876BC34E-37B1-40BB-9C9B-9B2CBE62F2A9"
"I","5","100004","1","5","2EGK","2 EASTBOUND SIGNAL INDICATION","None","A0193269-E7B7-4C6E-A6DE-E56870228200"
"C","5","100004","1","6","2WGHS","2 WESTBOUND SIGNAL CONTROL","None","C4B645F7-E6FE-4641-94DC-1C29F11A40FB"
"I","5","100004","1","6","2WGK","2 WESTBOUND SIGNAL INDICATION","None","344CA5AC-8C74-4584-8F39-F94EC8890220"
