reference_column,component_uid,component_name,parent_control_point_uid,parent_control_point_name,subdivision_name,raw_reference_value,reference_format,diagnostic_rule,local_code_line,local_code_station_number,local_bit_token,diagnostic_match_count,diagnostic_status,diagnostic_candidate_mnemonics,diagnostic_candidate_long_names,diagnostic_candidate_family_set,diagnostic_candidate_examples,cp_triplet_same_raw,cp_triplet_same_diagnostic_status,cp_triplet_same_candidate_examples
CPIND11,200028,AVO,200028,AVO,ESCONDIDO,0;0;200028;28,code_line_station_control_point_bit,parent_station_local_bit_lookup,28,1,28,0,zero_candidate,,,no_candidate,,True,True,False
CPIND12,200028,AVO,200028,AVO,ESCONDIDO,0;0;200028;28,code_line_station_control_point_bit,parent_station_local_bit_lookup,28,1,28,0,zero_candidate,,,no_candidate,,True,True,False
CPIND13,200028,AVO,200028,AVO,ESCONDIDO,0;0;200028;28,code_line_station_control_point_bit,parent_station_local_bit_lookup,28,1,28,0,zero_candidate,,,no_candidate,,True,True,False
CPIND11,100000,CARL,100000,CARL,SAN DIEGO,0;0;100000;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,5=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND12,100000,CARL,100000,CARL,SAN DIEGO,0;0;100000;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,5=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND13,100000,CARL,100000,CARL,SAN DIEGO,0;0;100000;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,5=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND11,100001,SONGS,100001,SONGS,SAN DIEGO,0;0;100001;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,5=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND12,100001,SONGS,100001,SONGS,SAN DIEGO,0;0;100001;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,5=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND13,100001,SONGS,100001,SONGS,SAN DIEGO,0;0;100001;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,5=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND11,100002,DON,100002,DON,SAN DIEGO,0;0;100002;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EGK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EGK:2 EASTBOUND SIGNAL INDICATION,True,True,True
CPIND12,100002,DON,100002,DON,SAN DIEGO,0;0;100002;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EGK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EGK:2 EASTBOUND SIGNAL INDICATION,True,True,True
CPIND13,100002,DON,100002,DON,SAN DIEGO,0;0;100002;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EGK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EGK:2 EASTBOUND SIGNAL INDICATION,True,True,True
CPIND11,100003,PULGAS,100003,PULGAS,SAN DIEGO,0;0;100003;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,5=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND12,100003,PULGAS,100003,PULGAS,SAN DIEGO,0;0;100003;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,5=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND13,100003,PULGAS,100003,PULGAS,SAN DIEGO,0;0;100003;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,EGK,EASTBOUND SIGNAL INDICATION,signal_indication,5=EGK:EASTBOUND SIGNAL INDICATION,True,True,True
CPIND11,100004,CUDAHY,100004,CUDAHY,SAN DIEGO,0;0;100004;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EGK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EGK:2 EASTBOUND SIGNAL INDICATION,True,True,True
CPIND12,100004,CUDAHY,100004,CUDAHY,SAN DIEGO,0;0;100004;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EGK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EGK:2 EASTBOUND SIGNAL INDICATION,True,True,True
CPIND13,100004,CUDAHY,100004,CUDAHY,SAN DIEGO,0;0;100004;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EGK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EGK:2 EASTBOUND SIGNAL INDICATION,True,True,True
CPIND11,100005,STUART,100005,STUART,SAN DIEGO,0;0;100005;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EHK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EHK:2 EASTBOUND SIGNAL INDICATION,True,True,True
CPIND12,100005,STUART,100005,STUART,SAN DIEGO,0;0;100005;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EHK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EHK:2 EASTBOUND SIGNAL INDICATION,True,True,True
CPIND13,100005,STUART,100005,STUART,SAN DIEGO,0;0;100005;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EHK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EHK:2 EASTBOUND SIGNAL INDICATION,True,True,True
CPIND11,100006,MESA,100006,MESA,SAN DIEGO,0;0;100006;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EGK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EGK:2 EASTBOUND SIGNAL INDICATION,True,True,True
CPIND12,100006,MESA,100006,MESA,SAN DIEGO,0;0;100006;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EGK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EGK:2 EASTBOUND SIGNAL INDICATION,True,True,True
CPIND13,100006,MESA,100006,MESA,SAN DIEGO,0;0;100006;5,code_line_station_control_point_bit,parent_station_local_bit_lookup,5,1,5,1,one_candidate,2EGK,2 EASTBOUND SIGNAL INDICATION,signal_indication,5=2EGK:2 EASTBOUND SIGNAL INDICATION,True,True,True
