component_family,component_uid,parent_control_point_uid,component_name,component_secondary_name,component_detail_name,component_codeline,reference_column,reference_kind,raw_reference_value,raw_reference_part,part_index,reference_format,code_line_number,code_station_number,control_point_number,bit_position,token_1,token_2,token_3,token_4,expected_word_type,resolved_code_line_number,resolved_code_station_number,resolved_control_point_number,resolved_bp_assignment,resolved_word_type,resolved_mnemonic,resolved_long_name,resolved_bit_type,resolved_assignment_uid,match_status,resolution_method,is_default_zero_reference
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL7,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL8,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100000,100000,CARL,NULL,CP Carl,5,CPCTL9,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND1,indication,9;1;100000,9;1;100000,1,code_line_station_control_point,9,1,100000,,9,1,100000,,I,5,1,100000,9,I,LCK,LOCAL CONTROL INDICATION,None,F26E6A09-26E8-4211-88DD-D9C554B33C94,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND10,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,I,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND11,indication,0;0;100000;5,0;0;100000;5,1,code_line_station_control_point_bit,0,0,100000,5,0,0,100000,5,I,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND12,indication,0;0;100000;5,0;0;100000;5,1,code_line_station_control_point_bit,0,0,100000,5,0,0,100000,5,I,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND13,indication,0;0;100000;5,0;0;100000;5,1,code_line_station_control_point_bit,0,0,100000,5,0,0,100000,5,I,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND2,indication,8;1;100000,8;1;100000,1,code_line_station_control_point,8,1,100000,,8,1,100000,,I,5,1,100000,8,I,POK,POWER OFF INDICATION,None,0715BFEC-42D4-4D92-AD49-4E5DA8CB128A,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND3,indication,13;1;100000,13;1;100000,1,code_line_station_control_point,13,1,100000,,13,1,100000,,I,5,1,100000,13,I,LOK,LIGHT OUT INDICATION,None,49F46233-1DD5-43F1-A49F-E15D8199DFA7,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND4,indication,11;1;100000,11;1;100000,1,code_line_station_control_point,11,1,100000,,11,1,100000,,I,5,1,100000,11,I,DOK,ILLEGAL ENTRY INDICATION,None,DF957250-33DF-44D9-B659-D06E9594DC36,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND5,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,I,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND6,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,I,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND7,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,I,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND8,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,I,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND9,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,I,,,,,,,,,,unresolved,,False
control_point,100000,100000,CARL,NULL,CP Carl,5,ScadaAlarmReportingIndicationBit,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,0,1,100000,,0,1,100000,,I,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL1,control,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,C,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL10,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
