route_guid,system_uid,control_point_uid,control_point_name,entry_signal_uid,entry_signal_name,exit_signal_uid,exit_signal_name,switch_uid,switch_name,switch_tooltip_name,required_state,switch_order,switch_list_raw
041@100,B16EF04A67,100017,FARR,100757,2W-SIGNAL,100754,2E-SIGNAL,100903,3-SWITCH,3X,FALSE,1,100903;3-SWITCH;FALSE|100902;1-SWITCH;FALSE
041@100,B16EF04A67,100017,FARR,100757,2W-SIGNAL,100754,2E-SIGNAL,100902,1-SWITCH,1X,FALSE,2,100903;3-SWITCH;FALSE|100902;1-SWITCH;FALSE
042@100,569FAA0E47,100017,FARR,100768,4W-SIGNAL,100765,4E-SIGNAL,100767,3-SWITCH,3-SWITCH,FALSE,1,100767;3-SWITCH;FALSE|100901;1-SWITCH;FALSE
042@100,569FAA0E47,100017,FARR,100768,4W-SIGNAL,100765,4E-SIGNAL,100901,1-SWITCH,1-SWITCH,FALSE,2,100767;3-SWITCH;FALSE|100901;1-SWITCH;FALSE
078@100,637466EA72,100017,FARR,100757,2W-SIGNAL,100765,4E-SIGNAL,100903,3-SWITCH,3X,TRUE,1,100903;3-SWITCH;TRUE|100767;3-SWITCH;TRUE|100901;1-SWITCH;FALSE
078@100,637466EA72,100017,FARR,100757,2W-SIGNAL,100765,4E-SIGNAL,100767,3-SWITCH,3-SWITCH,TRUE,2,100903;3-SWITCH;TRUE|100767;3-SWITCH;TRUE|100901;1-SWITCH;FALSE
078@100,637466EA72,100017,FARR,100757,2W-SIGNAL,100765,4E-SIGNAL,100901,1-SWITCH,1-SWITCH,FALSE,3,100903;3-SWITCH;TRUE|100767;3-SWITCH;TRUE|100901;1-SWITCH;FALSE
079@100,AD620A62A7,100017,FARR,100768,4W-SIGNAL,100754,2E-SIGNAL,100767,3-SWITCH,3-SWITCH,FALSE,1,100767;3-SWITCH;FALSE|100901;1-SWITCH;TRUE|100902;1-SWITCH;TRUE
079@100,AD620A62A7,100017,FARR,100768,4W-SIGNAL,100754,2E-SIGNAL,100901,1-SWITCH,1-SWITCH,TRUE,2,100767;3-SWITCH;FALSE|100901;1-SWITCH;TRUE|100902;1-SWITCH;TRUE
079@100,AD620A62A7,100017,FARR,100768,4W-SIGNAL,100754,2E-SIGNAL,100902,1-SWITCH,1X,TRUE,3,100767;3-SWITCH;FALSE|100901;1-SWITCH;TRUE|100902;1-SWITCH;TRUE
095@100,DD815E66B9,100017,FARR,100757,2W-SIGNAL,100754,2E-SIGNAL,100903,3-SWITCH,3X,TRUE,1,100903;3-SWITCH;TRUE|100767;3-SWITCH;TRUE|100901;1-SWITCH;TRUE|100902;1-SWITCH;TRUE
095@100,DD815E66B9,100017,FARR,100757,2W-SIGNAL,100754,2E-SIGNAL,100767,3-SWITCH,3-SWITCH,TRUE,2,100903;3-SWITCH;TRUE|100767;3-SWITCH;TRUE|100901;1-SWITCH;TRUE|100902;1-SWITCH;TRUE
095@100,DD815E66B9,100017,FARR,100757,2W-SIGNAL,100754,2E-SIGNAL,100901,1-SWITCH,1-SWITCH,TRUE,3,100903;3-SWITCH;TRUE|100767;3-SWITCH;TRUE|100901;1-SWITCH;TRUE|100902;1-SWITCH;TRUE
095@100,DD815E66B9,100017,FARR,100757,2W-SIGNAL,100754,2E-SIGNAL,100902,1-SWITCH,1X,TRUE,4,100903;3-SWITCH;TRUE|100767;3-SWITCH;TRUE|100901;1-SWITCH;TRUE|100902;1-SWITCH;TRUE
