control_point_uid,subdivision_name,codeline,shared_anchor_raw,switch_count,type_of_switch_values,switch_point_monitor_mode_values,tctl_non_anchor_switch_count,switch_blk_nondefault_switch_count,switch_block_control_nondefault_switch_count,switch_block_control_resolved_switch_count,switch_block_control_unresolved_switch_count,switch_examples,tctl_non_anchor_examples,switch_block_control_resolved_mnemonics,pctl_resolved_mnemonics,sctl_resolved_mnemonics,pind_resolved_mnemonics,sind_resolved_mnemonics
200027,ESCONDIDO,27,0;1;200027,9,DERAIL|NORMAL|SPM ONLY,False,4,4,4,4,0,200427:5-SWITCH|200438:3-SWITCH|200449:DERAIL|200450:9-SWITCH|200451:11-SWITCH|200457:13-SWITCH|200465:1-SWITCH|200538:1205-EL|200539:1207-EL,200427:5-SWITCH:17;1;200027|200449:DERAIL:17;1;200027|200450:9-SWITCH:19;1;200027|200451:11-SWITCH:20;1;200027,11BCAN|11BLZ|5BCAN|5BLZ|9BCAN|9BLZ,11RWS|13NWS|1NWS|3NWS|5NWS|9RWS|FNWZ,11NWS|1205WRZ|1207WRZ|13RWS|1RWS|3RWZ|5RWS|9NWS,11RWK|1205NWK|1207NWK|13NWK|1NWK|3NWK|5NWK|5RWK|9RWK,11NWK|13RWK|1RWK|3RWK|5NWK|5RWK|9NWK
200028,ESCONDIDO,28,0;1;200028,1,DERAIL,False,0,1,1,1,0,200472:7-SWITCH,,7BCAN|7BLZ,7RWS,7NWS,7RWK,7NWK
100000,SAN DIEGO,5,0;1;100000,1,NORMAL,False,0,0,0,0,0,100730:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
100001,SAN DIEGO,5,0;1;100001,3,NORMAL|SPM ONLY,False|True,0,0,0,0,0,100124:1-SWITCH|100238:EDISON POWER PLANT|100600:CP STUART LEAD,,,1NWS,1RWS,1NWK,1RWK
100002,SAN DIEGO,5,0;1;100002,4,NORMAL,False,0,0,0,0,0,100149:1-SWITCH|100150:3-SWITCH|100168:1-SWITCH|100169:3-SWITCH,,,1NWS|3NWS,1RWS|3RWS,1NWK|3NWK,1RWK|3RWK
100003,SAN DIEGO,5,0;1;100003,1,NORMAL,False,0,0,0,0,0,100145:1-SWITCH,,,NWS,RWS,NWK,RWK
100004,SAN DIEGO,5,0;1;100004,4,NORMAL,False,0,0,0,0,0,100276:1-SWITCH|100282:1-SWITCH|100285:3-SWITCH|100295:3-SWITCH,,,1NWS|3NWS,1RWS|3RWS,1NWK|3NWK,1RWK|3RWK
100005,SAN DIEGO,5,0;1;100005,4,DERAIL|NORMAL,False,0,0,0,0,0,100166:3-SWITCH|100679:1-SWITCH|100684:1-SWITCH|100695:3-SWITCH,,,3NWS|NWS,3RWS|RWS,3NWK|3RWK|NWK,1RWK|3NWK|3RWK
100006,SAN DIEGO,5,0;1;100006,4,DERAIL|NORMAL,False,0,0,0,0,0,100647:1-SWITCH|100665:1-SWITCH|100674:3-SWITCH|100675:3-SWITCH,,,3NWS|NWS,1RWS|3RWS,1NWK|1RWK|3NWK,1NWK|1RWK|3RWK
100007,SAN DIEGO,5,0;1;100007,4,NORMAL,False,0,0,0,0,0,100341:1-SWITCH|100343:3-SWITCH|100412:1-SWITCH|100413:3-SWITCH,,,1NWS|3NWS,1RWS|3RWS,1NWK|3NWK,1RWK|3RWK
