switch_uid,control_point_uid,subdivision_name,codeline,switch_name,track_name,type_of_switch,switch_point_monitor_mode,switch_lock_no_control,rcps_flag,rcps_control_token_count,rcps_control_distinct_token_count,rcps_control_distinct_tokens,rcps_control_all_tokens_same,rcps_indication_token_count,rcps_indication_distinct_token_count,rcps_indication_distinct_tokens,rcps_indication_all_tokens_same,lock_bit_raw,switch_block_bit_raw,pctl_resolved_count,pctl_unresolved_count,pctl_resolved_mnemonics,pind_resolved_count,pind_resolved_mnemonics,sctl_resolved_count,sctl_unresolved_count,sctl_resolved_mnemonics,sind_resolved_count,sind_resolved_mnemonics,tctl_unresolved_count,tind_unresolved_count,lockbit_unresolved_count,switchblk_default_zero_count
100597,100009,SAN DIEGO,5,WEST LEG FALLBROOK YARD,MAIN1,SPM ONLY,True,False,False,4,1,0;1;100009,True,5,1,0;1;100009,True,0;1;100009,0;0;0,0,2,,0,,0,2,,0,,2,1,1,1
100598,100009,SAN DIEGO,5,WEST LEG LEMON GROVE WYE,MAIN1,SPM ONLY,True,False,False,4,1,0;1;100009,True,5,1,0;1;100009,True,0;1;100009,0;0;0,0,2,,0,,0,2,,0,,2,1,1,1
100599,100009,SAN DIEGO,5,EAST LEG LEMON GROVE WYE,MAIN1,SPM ONLY,True,False,False,4,1,0;1;100009,True,5,1,0;1;100009,True,0;1;100009,0;0;0,0,2,,0,,0,2,,0,,2,1,1,1
100641,100010,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100010,True,5,1,0;1;100010,True,0;1;100010,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100642,100010,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100010,True,5,1,0;1;100010,True,0;1;100010,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100708,100011,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100011,True,5,1,0;1;100011,True,0;1;100011,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100253,100012,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100012,True,5,1,0;1;100012,True,0;1;100012,0;0;0,1,1,NWS,1,NWK,1,1,RWS,1,RWK,2,1,1,1
100241,100013,SAN DIEGO,5,EAST LEG ESCONDIDO JCT,MAIN1,SPM ONLY,True,False,False,4,1,0;1;100013,True,5,1,0;1;100013,True,0;1;100013,0;0;0,0,2,,0,,0,2,,0,,2,1,1,1
100275,100013,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100013,True,5,1,0;1;100013,True,0;1;100013,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100286,100013,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100013,True,5,1,0;1;100013,True,0;1;100013,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100732,100013,SAN DIEGO,5,7-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100013,True,5,1,0;1;100013,True,0;1;100013,0;0;0,1,1,7NWS,1,7NWK,1,1,7RWS,1,7RWK,2,1,1,1
100735,100013,SAN DIEGO,5,7-SWITCH,OSD POCKET,NORMAL,False,False,False,4,1,0;1;100013,True,5,1,0;1;100013,True,0;1;100013,0;0;0,1,1,7NWS,1,7NWK,1,1,7RWS,1,7RWK,2,1,1,1
100756,100013,SAN DIEGO,5,5-SWITCH,OSD POCKET,NORMAL,False,False,False,4,1,0;1;100013,True,5,1,0;1;100013,True,0;1;100013,0;0;0,1,1,5NWS,1,5NWK,1,1,5RWS,1,5RWK,2,1,1,1
100773,100013,SAN DIEGO,5,5-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100013,True,5,1,0;1;100013,True,0;1;100013,0;0;0,1,1,5NWS,1,5NWK,1,1,5RWS,1,5RWK,2,1,1,1
100779,100013,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100013,True,5,1,0;1;100013,True,0;1;100013,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100782,100013,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100013,True,5,1,0;1;100013,True,0;1;100013,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100825,100015,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100015,True,5,1,0;1;100015,True,0;1;100015,0;0;0,1,1,NWS,1,NWK,1,1,RWS,1,1RWK,2,1,1,1
100312,100016,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100016,True,5,1,0;1;100016,True,0;1;100016,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100243,100017,SAN DIEGO,5,SDGE HOUSE TRACK,MAIN2,SPM ONLY,True,False,False,4,1,0;1;100017,True,5,1,0;1;100017,True,0;1;100017,0;0;0,0,2,,0,,0,2,,0,,2,1,1,1
100767,100017,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100017,True,5,1,0;1;100017,True,0;1;100017,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100901,100017,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100017,True,5,1,0;1;100017,True,0;1;100017,0;0;0,1,1,NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100902,100017,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100017,True,5,1,0;1;100017,True,0;1;100017,0;0;0,1,1,NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100903,100017,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100017,True,5,1,0;1;100017,True,0;1;100017,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100236,100018,SAN DIEGO,5,PONTO HOUSE TRACK,MAIN 1,SPM ONLY,True,False,False,4,1,0;1;100018,True,5,1,0;1;100018,True,0;1;100018,0;0;0,0,2,,0,,0,2,,0,,2,1,1,1
100333,100018,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100018,True,5,1,0;1;100018,True,0;1;100018,0;0;0,1,1,NWS,1,NWKR,1,1,RWS,1,RWKR,2,1,1,1
100353,100019,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100019,True,5,1,0;1;100019,True,0;1;100019,0;0;0,1,1,NWS,1,NWK,1,1,RWS,1,RWK,2,1,1,1
100881,100020,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100020,True,5,1,0;1;100020,True,0;1;100020,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100888,100020,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100020,True,5,1,0;1;100020,True,0;1;100020,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100912,100020,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100020,True,5,1,0;1;100020,True,0;1;100020,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100914,100020,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100020,True,5,1,0;1;100020,True,0;1;100020,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100385,100022,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100022,True,5,1,0;1;100022,True,0;1;100022,0;0;0,1,1,NWS,1,NWK,1,1,RWS,1,RWK,2,1,1,1
100899,100023,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100023,True,5,1,0;1;100023,True,0;1;100023,0;0;0,1,1,NWS,1,NWK,1,1,RWS,1,RWK,2,1,1,1
100407,100024,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100024,True,5,1,0;1;100024,True,0;1;100024,0;0;0,1,1,NWS,1,NWK,1,1,RWS,1,RWK,2,1,1,1
100187,100025,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100025,True,5,1,0;1;100025,True,0;1;100025,0;0;0,1,1,1NWS,1,1NWK,1,1,1 RWS,1,1RWK,2,1,1,1
100443,100027,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100027,True,5,1,0;1;100027,True,0;1;100027,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100459,100027,SAN DIEGO,5,3-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100027,True,5,1,0;1;100027,True,0;1;100027,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100601,100027,SAN DIEGO,5,MIRAMAR WYE,MAIN 1,SPM ONLY,True,False,False,4,1,0;1;100027,True,5,1,0;1;100027,True,0;1;100027,0;0;0,0,2,,0,,0,2,,0,,2,1,1,1
100518,100033,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100033,True,5,1,0;1;100033,True,0;1;100033,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100519,100033,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100033,True,5,1,0;1;100033,True,0;1;100033,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100529,100033,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100033,True,5,1,0;1;100033,True,0;1;100033,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100530,100033,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100033,True,5,1,0;1;100033,True,0;1;100033,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100533,100033,SAN DIEGO,5,5-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100033,True,5,1,0;1;100033,True,0;1;100033,0;0;0,1,1,5NWS,1,5NWK,1,1,5RWS,1,5RWK,2,1,1,1
100535,100033,SAN DIEGO,5,7-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100033,True,5,1,0;1;100033,True,0;1;100033,0;0;0,1,1,7NWS,1,7NWK,1,1,7RWS,1,7RWK,2,1,1,1
100623,100035,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100035,True,5,1,0;1;100035,True,0;1;100035,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100624,100035,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100035,True,5,1,0;1;100035,True,0;1;100035,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
