symbol,train_guid,engine_id,direction,train_type,origin,dest,subdivision,track_guid,track_component_name,track_name,track_alias,track_route_name,control_point_name,schedule_status,ptc_status,bulletin_route_code,authority_designation,ctc_authority_designation,home_road_code,active_sub_train_sheet,authority_count_by_symbol,runtime_join_status,runtime_loco_id,runtime_train_symbol,runtime_last_updated,runtime_icd_interface_version,runtime_departure_test_status,runtime_onboard_software_version,runtime_head_end_track_name,runtime_departure_track_name,runtime_departure_location_name
BNSF 6161,46F9A136-DEBA-4832-AC03-859FFBB44DE3,BNSF 6161,EAST,FREIGHT,,,0,0,,,,,,,ACTIVE,,,,BNSF,534EF0A6-6A37-40E8-8D55-D5F759E2DB5A,0,exact_engine_to_loco_match,BNSF 6161,,2025-01-14 오후 8:18:09,BOS_ICD_3_0,,,,,
BNSFTEST,CFB1C8FF-922C-40B5-8186-6B9EC7BF9348,BNSF 6562,EAST,FREIGHT,,,0,0,,,,,,,INACTIVE,,,,BNSF,3DD5473B-F18B-42AB-96EB-E20F5178F9D2,0,exact_engine_to_loco_match,BNSF 6562,,2024-04-24 오후 9:59:41,BOS_ICD_3_0,,,,,
C22DH,03443EAF-486B-4E85-8DDE-F2969450CD27,NCTC 2304,EAST,COMMUTER,,,0,0,,,,,,,,,,,NCTC,3F2787A5-C74B-4301-97B6-9E9CE4233292,0,exact_engine_to_loco_match,NCTC 2304,,2026-01-22 오후 10:57:30,,,,,,
C620,b2875b8d-02ff-4630-9c4c-802385bc7d84,NCTC 2309,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,C4E423C6-27CB-47E4-B776-6FE87EB5ECB7,0,exact_engine_to_loco_match,NCTC 2309,,2026-03-24 오전 9:05:22,BOS_ICD_3_0,Pass,6.3.24.11,,,
C620DH,e7c7127c-0755-40ac-b9eb-f0ce8e6bf583,NCTC 2309,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,C15BE7AD-0506-40E4-B53F-805DD998C371,0,exact_engine_to_loco_match,NCTC 2309,,2026-03-24 오전 9:05:22,BOS_ICD_3_0,Pass,6.3.24.11,,,
C621,37a356b3-be10-435b-a5be-30fea85b1a1d,NCTC 5001,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,05C23EAC-D63B-4456-B477-05BD0F1DD3EA,0,exact_engine_to_loco_match,NCTC 5001,,2026-03-24 오전 9:05:44,BOS_ICD_3_0,Pass,6.3.24.11,,,
C622,6430a30b-0dc8-418d-8f77-96c157c600dc,NCTC 2308,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,2DBF5D21-6AE1-41F0-9B4E-298B40A6064F,0,exact_engine_to_loco_match,NCTC 2308,,2026-03-24 오전 9:05:32,BOS_ICD_3_0,Pass,6.3.24.11,,,
C622DH,e052e88c-588b-493c-88ae-58a4811e103e,NCTC 2308,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,6B1EF8CD-6D7D-4F3C-B0BC-9E94A78ABEFD,0,exact_engine_to_loco_match,NCTC 2308,,2026-03-24 오전 9:05:32,BOS_ICD_3_0,Pass,6.3.24.11,,,
C623,f0cb5d19-d7dc-43de-a00f-eb4768d70d27,NCTC 5005,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,E1D64CC1-0207-49A1-A119-ED3EBAB562FB,0,exact_engine_to_loco_match,NCTC 5005,,2026-03-24 오전 9:05:43,BOS_ICD_3_0,Pass,6.3.24.11,,,
C624,b5595396-4a56-4993-bb27-e70e09c9719b,NCTC 2306,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,347AE0BD-ACD5-439D-BE2D-B3EDDCFD319D,0,exact_engine_to_loco_match,NCTC 2306,,2026-03-24 오전 9:05:27,BOS_ICD_3_0,Pass,6.3.24.11,,,
C624DH,0d7723a9-d252-4843-a24d-74deaec783fb,NCTC 2306,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,790AE1D5-646C-4A06-BD1B-51E1C386F86C,0,exact_engine_to_loco_match,NCTC 2306,,2026-03-24 오전 9:05:27,BOS_ICD_3_0,Pass,6.3.24.11,,,
C625,822c6969-eaa8-41a2-b9e4-3dade859e60c,NCTC 5006,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,88D12E8E-9A83-4A38-AB50-17ACF25A15FB,0,exact_engine_to_loco_match,NCTC 5006,,2026-03-24 오전 9:05:42,BOS_ICD_3_0,Pass,6.3.24.11,,,
C626,d7ec1377-cb41-488b-b0b2-e330aead453b,NCTC 2309,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,3244A823-B1B3-47B8-AAB8-4242C7BBBCC3,0,exact_engine_to_loco_match,NCTC 2309,,2026-03-24 오전 9:05:22,BOS_ICD_3_0,Pass,6.3.24.11,,,
C627,62577867-83af-4853-ba52-40320a385ffa,NCTC 5001,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,21EBDE18-035D-4E34-B96F-D42DFFF94CA3,0,exact_engine_to_loco_match,NCTC 5001,,2026-03-24 오전 9:05:44,BOS_ICD_3_0,Pass,6.3.24.11,,,
C627DH,7459c80e-9c6b-4d75-8594-de455db7f1ef,NCTC 5001,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,4FF49FFC-BB05-4902-8994-23E4ABA28BE6,0,exact_engine_to_loco_match,NCTC 5001,,2026-03-24 오전 9:05:44,BOS_ICD_3_0,Pass,6.3.24.11,,,
