signal_uid,control_point_uid,subdivision_name,codeline,signal_name,tool_tip_name,signal_type,in_time_type,shared_anchor_raw,fleet_control_bit_raw,pctl_secondary_part,sctl_primary_part,sctl_secondary_part,tctl_secondary_part,anchor_equals_fleet,anchor_equals_pctl_secondary,anchor_equals_sctl_primary,anchor_equals_sctl_secondary,anchor_equals_tctl_secondary,core_anchor_all_equal_excluding_sctl_secondary,sctl_secondary_exception,pind_resolved_mnemonics,pind_resolved_long_names,pctl_resolved_mnemonics,pctl_resolved_long_names,sctl_resolved_mnemonics,sctl_resolved_long_names,tctl_resolved_mnemonics,tctl_resolved_long_names,in_time_resolved_mnemonics,in_time_resolved_long_names,call_on_resolved_mnemonics,call_on_resolved_long_names,near_side_ctl_resolved_mnemonics,entry_route_count,exit_route_count,route_total_count
200250,200013,ESCONDIDO,18,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,2,3
200251,200013,ESCONDIDO,18,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,2,3
200257,200013,ESCONDIDO,18,W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,2,0,2
200265,200014,ESCONDIDO,19,1W-SIGNAL,1W-SIGNAL,L,INTIMEBIT,0;1;200014;0019,0;1;200014;0019,0;1;200014;0019,0;1;200014;0019,0;1;200014;0019,0;1;200014;0019,True,True,True,True,True,True,False,BWGK,SIGNAL CLEAR,BWGHS,SIGNAL CLEAR,,,,,BWTEK,SIGNAL CLEAR,,,BWGNS,2,2,4
200307,200015,ESCONDIDO,21,33-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200015;0021,0;1;200015;0021,0;1;200015;0021,0;1;200015;0021,0;1;200015;0021,0;1;200015;0021,True,True,True,True,True,True,False,P1EGK,SIGNAL CLEAR,P1EGHS,SIGNAL CLEAR,,,,,P1ETEK,SIGNAL CLEAR,,,P1EGNS,1,1,2
200308,200015,ESCONDIDO,21,42-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200015;0021,0;1;200015;0021,0;1;200015;0021,0;1;200015;0021,0;1;200015;0021,0;1;200015;0021,True,True,True,True,True,True,False,P2EGK,SIGNAL CLEAR,P2EGHS,SIGNAL CLEAR,,,,,P2ETEK,SIGNAL CLEAR,,,P2EGNS,1,1,2
200296,200016,ESCONDIDO,20,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,2,2,4
200297,200016,ESCONDIDO,20,W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,WGNS,1,1,2
200298,200016,ESCONDIDO,20,W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,WGNS,1,1,2
200262,200017,ESCONDIDO,22,WBNS CIVIC,WBNS CIVIC,L,INTIMEBIT,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,True,True,True,True,True,True,False,SM1WGK,SIGNAL CLEAR,SM1WGHS,SIGNAL CLEAR,,,,,SM1WTEK,SIGNAL CLEAR,,,SM1WGNS,1,1,2
