subdivision_name,track_name_group,control_cluster_raw,tind_relation_to_control_cluster,tind_raw,sind_relation_to_control_cluster,sind_raw,qctl_relation_to_control_cluster,qctl_raw,qind_relation_to_control_cluster,qind_raw,track_count,control_cluster_split_count,distinct_control_point_count,track_examples,resolved_pind_mnemonics,resolved_sind_mnemonics,resolved_sctl_mnemonics
SAN DIEGO,MT2,0;1;100005;0005,same_as_control_cluster,0;1;100005;0005,same_as_control_cluster,0;1;100005;0005,same_as_control_cluster,0;1;100005;0005,blank,,6,0,1,100159:3TK|100160:3TK|100162:3TK|100678:3TK|100681:3TK|100683:3TK,3TK,,
SAN DIEGO,MT2,0;1;100006;0005,same_as_control_cluster,0;1;100006;0005,same_as_control_cluster,0;1;100006;0005,same_as_control_cluster,0;1;100006;0005,blank,,6,0,1,100173:1TK|100662:1TK|100663:1TK|100664:1TK|100666:1TK|100668:1TK,TK,,
ESCONDIDO,MAIN,0;1;200000;0006,same_as_control_cluster,0;1;200000;0006,same_as_control_cluster,0;1;200000;0006,blank,,blank,,5,0,1,200109:10STK|200114:TK|200115:TK|200116:TK|200117:TK,10STK|TK,,
ESCONDIDO,MAIN,0;1;200013;0018,same_as_control_cluster,0;1;200013;0018,same_as_control_cluster,0;1;200013;0018,blank,,blank,,5,0,1,200252:TK|200253:TK|200254:TK|200255:TK|200258:1WABK,1WABK|TK,,
ESCONDIDO,MAIN,0;1;200026;0026,same_as_control_cluster,0;1;200026;0026,same_as_control_cluster,0;1;200026;0026,blank,,blank,,5,0,1,200100:1WABK|200412:1EABK|200416:1WABK|200536:1WABK|200537:1WABK,1EABK|1WABK,,
SAN DIEGO,MAIN,0;1;100009;0005,same_as_control_cluster,0;1;100009;0005,same_as_control_cluster,0;1;100009;0005,same_as_control_cluster,0;1;100009;0005,blank,,5,0,1,100873:WAK|100875:TK|100876:TK|100877:TK|100878:TK,TK|WAK,,
SAN DIEGO,MT1,0;1;100002;0005,same_as_control_cluster,0;1;100002;0005,same_as_control_cluster,0;1;100002;0005,same_as_control_cluster,0;1;100002;0005,default_zero,0;0;0;0,5,0,1,100115:1TK|100127:1TK|100136:1TK|100137:1TK|100146:1TK,1TK,,
SAN DIEGO,MT1,0;1;100020;0005,same_as_control_cluster,0;1;100020;0005,same_as_control_cluster,0;1;100020;0005,same_as_control_cluster,0;1;100020;0005,different_from_control_cluster,0;0;100020;5,5,0,1,100863:1TK|100865:1TK|100866:1TK|100867:1TK|100871:1TK,1TK,,
SAN DIEGO,MT2,0;1;100002;0005,same_as_control_cluster,0;1;100002;0005,same_as_control_cluster,0;1;100002;0005,same_as_control_cluster,0;1;100002;0005,default_zero,0;0;0;0,5,0,1,100154:3TK|100155:3TK|100157:3TK|100158:3TK|100161:3TK,3TK,,
SAN DIEGO,MT2,0;1;100020;0005,same_as_control_cluster,0;1;100020;0005,same_as_control_cluster,0;1;100020;0005,same_as_control_cluster,0;1;100020;0005,different_from_control_cluster,0;0;100020;5,5,0,1,100896:2TK|100898:2TK|100900:2TK|100904:2TK|100906:2TK,3TK,,
ESCONDIDO,MAIN,0;1;200007;0013,same_as_control_cluster,0;1;200007;0013,same_as_control_cluster,0;1;200007;0013,blank,,blank,,4,0,1,200218:TK|200219:TK|200220:TK|200221:TK,TK,,
ESCONDIDO,MAIN,0;1;200010;0015,same_as_control_cluster,0;1;200010;0015,same_as_control_cluster,0;1;200010;0015,blank,,blank,,4,0,1,200238:1EABK|200240:TK|200241:TK|200242:TK,1EABK|TK,,
ESCONDIDO,MAIN,0;1;200016;0020,same_as_control_cluster,0;1;200016;0020,same_as_control_cluster,0;1;200016;0020,blank,,blank,,4,0,1,200292:TK|200293:TK|200294:TK|200295:TK,TK,,
ESCONDIDO,MAIN,0;1;200019;0024,same_as_control_cluster,0;1;200019;0024,same_as_control_cluster,0;1;200019;0024,blank,,blank,,4,0,1,200379:TK|200380:TK|200381:TK|200407:TK,TK,,
ESCONDIDO,MAIN,0;1;200020;0023,same_as_control_cluster,0;1;200020;0023,same_as_control_cluster,0;1;200020;0023,blank,,blank,,4,0,1,200353:TK|200354:TK|200355:TK|200360:TK,TK,,
SAN DIEGO,MAIN,0;1;100018;0005,different_from_control_cluster,0;1;100017;0005,same_as_control_cluster,0;1;100018;0005,same_as_control_cluster,0;1;100018;0005,blank,,4,0,1,100329:TKR|100330:TKR|100331:TKR|100332:TKR,TKR,,
SAN DIEGO,MAIN,0;1;100019;0005,different_from_control_cluster,0;1;100017;0005,same_as_control_cluster,0;1;100019;0005,same_as_control_cluster,0;1;100019;0005,blank,,4,0,1,100346:TK|100347:TK|100348:TK|100349:TK,TK,,
SAN DIEGO,MAIN,0;1;100022;0005,different_from_control_cluster,0;1;100018;0005,same_as_control_cluster,0;1;100022;0005,same_as_control_cluster,0;1;100022;0005,blank,,4,0,1,100381:TK|100382:TK|100383:TK|100384:TK,TK,,
SAN DIEGO,MAIN,0;1;100025;0005,same_as_control_cluster,0;1;100025;0005,same_as_control_cluster,0;1;100025;0005,same_as_control_cluster,0;1;100025;0005,default_zero,0;0;0;0,4,0,1,100180:1TK|100181:1TK|100182:1TK|100183:1TK,1TK,,
SAN DIEGO,MT1,0;1;100010;0005,same_as_control_cluster,0;1;100010;0005,same_as_control_cluster,0;1;100010;0005,same_as_control_cluster,0;1;100010;0005,blank,,4,0,1,100637:1TK|100639:1TK|100643:1TK|100649:2WAK,1TK|2WAK,,
SAN DIEGO,MT1,0;1;100011;0005,same_as_control_cluster,0;1;100011;0005,same_as_control_cluster,0;1;100011;0005,same_as_control_cluster,0;1;100011;0005,default_zero,0;0;0;0,4,0,1,100701:TK|100702:TK|100703:TK|100704:TK,TK,,
SAN DIEGO,MT2,0;1;100010;0005,same_as_control_cluster,0;1;100010;0005,same_as_control_cluster,0;1;100010;0005,same_as_control_cluster,0;1;100010;0005,blank,,4,0,1,100638:3TK|100640:3TK|100645:3TK|100650:4WAK,3TK|4WAK,,
ESCONDIDO,ESCON CON,0;1;200002;0007,same_as_control_cluster,0;1;200002;0007,same_as_control_cluster,0;1;200002;0007,blank,,blank,,3,0,1,200135:3TK|200136:3TK|200137:3TK,3TK,,
ESCONDIDO,MAIN,0;1;200000;6,same_as_control_cluster,0;1;200000;6,same_as_control_cluster,0;1;200000;6,blank,,blank,,3,0,1,200120:WABK|200858:SHELF 1|200859:SHELF 2,WABK,,
ESCONDIDO,MAIN,0;1;200002;0007,same_as_control_cluster,0;1;200002;0007,same_as_control_cluster,0;1;200002;0007,blank,,blank,,3,0,1,200122:1TK|200125:1TK|200534:1TK,1TK,,
ESCONDIDO,MAIN,0;1;200003;0010,same_as_control_cluster,0;1;200003;0010,same_as_control_cluster,0;1;200003;0010,different_from_control_cluster,0;0;0;0000,blank,,3,0,1,200147:TK|200149:TK|200174:1EABK,1EABK|TK,,
ESCONDIDO,MAIN,0;1;200004;0008,same_as_control_cluster,0;1;200004;0008,same_as_control_cluster,0;1;200004;0008,blank,,blank,,3,0,1,200160:CHSTK|200161:CHSTK|200162:CHSTK,CHSTK,,
ESCONDIDO,MAIN,0;1;200027;0027,same_as_control_cluster,0;1;200027;0027,same_as_control_cluster,0;1;200027;0027,different_from_control_cluster,0;0;0;0000,blank,,3,0,1,200436:TK|200466:POCKET TRACK|200473:2ESTK,1ESTK|2ESTK|TK,,
ESCONDIDO,MT2,0;1;200017;22,same_as_control_cluster,0;1;200017;22,same_as_control_cluster,0;1;200017;22,blank,,blank,,3,0,1,200304:2SMSTK|200311:1163BK|200332:1173BK,1163BK|1173BK|2SMSTK,,
SAN DIEGO,MAIN,0;1;100000;0005,different_from_control_cluster,0;1;100006;0005,same_as_control_cluster,0;1;100000;0005,same_as_control_cluster,0;1;100000;0005,blank,,3,0,1,100723:1TK|100725:1TK|100726:1TK,1TK,,
SAN DIEGO,MAIN,0;1;100001;0005,same_as_control_cluster,0;1;100001;0005,same_as_control_cluster,0;1;100001;0005,same_as_control_cluster,0;1;100001;0005,blank,,3,0,1,100117:TK|100119:TK|100189:EAK,EAK|TK,,
SAN DIEGO,MAIN,0;1;100012;0005,different_from_control_cluster,0;1;100009;0005,same_as_control_cluster,0;1;100012;0005,same_as_control_cluster,0;1;100012;0005,blank,,3,0,1,100246:TK|100248:TK|100249:TK,TK,,
SAN DIEGO,MAIN,0;1;100016;0005,different_from_control_cluster,0;1;100006;0005,same_as_control_cluster,0;1;100016;0005,same_as_control_cluster,0;1;100016;0005,blank,,3,0,1,100309:TK|100310:TK|100311:TK,TK,,
SAN DIEGO,MT1,0;1;100001;0005,same_as_control_cluster,0;1;100001;0005,same_as_control_cluster,0;1;100001;0005,same_as_control_cluster,0;1;100001;0005,blank,,3,0,1,100126:WBAK|100449:SHELF|100921:SHELF,WBAK,,
SAN DIEGO,MT1,0;1;100004;0005,different_from_control_cluster,0;1;100010;0005,same_as_control_cluster,0;1;100004;0005,same_as_control_cluster,0;1;100004;0005,blank,,3,0,1,100280:1TK|100283:1TK|100287:1TK,1TK,,
SAN DIEGO,MT1,0;1;100005;0005,same_as_control_cluster,0;1;100005;0005,same_as_control_cluster,0;1;100005;0005,same_as_control_cluster,0;1;100005;0005,blank,,3,0,1,100680:1TK|100682:1TK|100686:1TK,1TK,,
SAN DIEGO,MT1,0;1;100006;0005,same_as_control_cluster,0;1;100006;0005,same_as_control_cluster,0;1;100006;0005,same_as_control_cluster,0;1;100006;0005,blank,,3,0,1,100669:3TK|100670:3TK|100676:3TK,3TK,,
